id,article_id,date,title,summary,url,other,media,source,locations,lat,long
37,16a930f21e9393ab39433b7cdaf8851e,11/14/2022,Solar snake spotted slithering across Sunâ€™s surface,"Video: 00:00:11 Solar Orbiter has spotted a â€˜tubeâ€™ of cooler atmospheric gases snaking its way through the Sunâ€™s magnetic field. The observation provides an intriguing new addition to the zoo of features revealed by the ESA-led Solar Orbiter mission, espe",https://www.esa.int/ESA_Multimedia/Videos/2022/11/Solar_snake_spotted_slithering_across_Sun_s_surface,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/videos/2022/11/solar_snake_spotted_slithering_across_sun_s_surface/24560513-1-eng-GB/Solar_snake_spotted_slithering_across_Sun_s_surface_card_full.jpg,ESA,Europe,40.43048,-3.68951
38,e4827f2878bdb3fe5f27ccab8ba335b7,11/12/2022,Artemis I return for launch,,https://www.esa.int/Science_Exploration/Human_and_Robotic_Exploration/Orion/Artemis_I_return_for_launch,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2022/11/artemis_i_rocket_with_orion_and_european_service_module_on_the_launchpad/24572464-1-eng-GB/Artemis_I_rocket_with_Orion_and_European_Service_Module_on_the_launchpad_card_full.jpg,ESA,Europe,38.74422,-9.15188
39,788a7f545e767513c363d664bf3c8d70,11/11/2022,Week in images: 07-11 November 2022,Week in images: 07-11 November 2022 Discover our week through the lens,https://www.esa.int/About_Us/Week_in_images/Week_in_images_07-11_November_2022,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2022/11/gearing_up_for_the_moon_with_pangaea/24566326-4-eng-GB/Gearing_up_for_the_Moon_with_Pangaea_card_full.jpg,ESA,Europe,48.15458,11.52579
40,80f34378d6fa27fa93d96acbcb162e3f,11/11/2022,"Earth from Space: Santiago, Chile",The Copernicus Sentinel-2 mission captured this image of Santiago â€“ the capital and largest city of Chile.,https://www.esa.int/Applications/Observing_the_Earth/Copernicus/Earth_from_Space_Santiago_Chile,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2022/11/santiago_chile/24566117-2-eng-GB/Santiago_Chile_card_full.jpg,ESA,Europe,48.86127,2.34052 
41,88abca11860e2b2f7adb17a51a9ed585,11/10/2022,Euclid completes thermal vacuum testing,"Video: 00:05:17 At the Thales Alenia Space test facility in Cannes, France, the massive door of the thermal vacuum chamber was opened after a month of rigorous testing of ESAâ€™s Euclid mission to explore the dark Universe. In Cannes the fully integrated sp",https://www.esa.int/ESA_Multimedia/Videos/2022/11/Euclid_completes_thermal_vacuum_testing,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/videos/2022/11/euclid_completes_thermal_vacuum_testing/24567829-4-eng-GB/Euclid_completes_thermal_vacuum_testing_card_full.png,ESA,Europe,45.81388,15.97376
42,4c3fb2d29fcdde19bf3ec9efd058ba5d,11/10/2022,NASA laser reflector for ESA satnav on Lunar Pathfinder,NASA has delivered a retroreflector array to ESA that will allow the Lunar Pathfinder mission to be pinpointed by laser ranging stations back on Earth as it orbits the Moon. Such centimetre level laser measurements will serve as an independent check on th,https://www.esa.int/Applications/Navigation/NASA_laser_reflector_for_ESA_satnav_on_Lunar_Pathfinder,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2022/11/corner_cubes_making_up_retroreflector_array/24562536-1-eng-GB/Corner_cubes_making_up_Retroreflector_Array_card_full.jpg,ESA,Europe,59.91754,10.7753
43,3c323227f5092f96909835d2148139cc,11/9/2022,Gearing up for the Moon with Pangaea,Image: Gearing up for the Moon,https://www.esa.int/ESA_Multimedia/Images/2022/11/Gearing_up_for_the_Moon_with_Pangaea,NULL,https://www.esa.int/var/esa/storage/images/esa_multimedia/images/2022/11/gearing_up_for_the_moon_with_pangaea/24566326-4-eng-GB/Gearing_up_for_the_Moon_with_Pangaea_card_full.jpg,ESA,Europe,41.84516,12.47931
44,ZHLxuM6DFgGPZoK34EDsog,11/14/2022,BlueWalker 3 satellite unfurls biggest commercial communications array ever,"AST SpaceMobile's BlueWalker 3 satellite unveiled an array that is about the same size as a small apartment, to provide high-speed communications from orbit.",https://www.space.com/bluewalker-3-satellite-deploys-largest-commercial-array/,NULL,http://cdn.mos.cms.futurecdn.net/nEtLMtghidGuJ8LX8yaLHR.jpg,Space.com,Orange,33.80066,-117.8262
45,fCJku9cHzTrXQzz2xs5xT8,11/14/2022,Spacesuit for women: Fashion is the final frontier in new Kickstarter campaign,"NASA aerospace engineer Sabrina Thompson's Girl in Space"" organization is building an in-vehicle flight suit designed for women first. It will be tested in a Mars analog next year.""",https://www.space.com/women-spacesuit-kickstarter-campaign-nasa-engineer/,NULL,http://cdn.mos.cms.futurecdn.net/naBKG7EeaLhuJf7TTv4roS.png,Space.com,Kickstarter,-,-
46,2rGXwLM488S59MbZUKtW3M,11/14/2022,Chinese rocket body breaks up in orbit after successful satellite launch,"A Chinese rocket body broke up in orbit after launching on Friday (Nov. 11) and is now in more than 50 pieces, adding to the threat of space debris in Earth orbit.",https://www.space.com/chinese-rocket-body-breaks-up-after-satellite-launch/,NULL,http://cdn.mos.cms.futurecdn.net/FgqXGnfXare2GQr5GdMJqU.jpg,Space.com,Yunhai,24.04877,121.24548
47,qb5BfYXaHBsr4RVph8CMVa,11/14/2022,SpaceX's Starship Super Heavy booster test-fires record 14 engines (video),"SpaceX just conducted its most ambitious and powerful Starship test to date, firing up 14 engines on one of its Super Heavy booster prototypes.",https://www.space.com/spacex-starship-super-heavy-14-engine-test-fire/,NULL,http://cdn.mos.cms.futurecdn.net/GFGPZk7TyzvAph8LwfTeab.jpg,Space.com,,-,-
